Nível,Cód.,Município,Ano,,,,,,,,,
,,,2019,,2020,,2021,,2024,,2025,
MU,1100015,Alta Floresta D'Oeste (RO),22945,Pessoas,22728,Pessoas,22516,Pessoas,22853,Pessoas,22787,Pessoas
MU,1100023,Ariquemes (RO),107863,Pessoas,109523,Pessoas,111148,Pessoas,108573,Pessoas,109170,Pessoas
MU,1100031,Cabixi (RO),5312,Pessoas,5188,Pessoas,5067,Pessoas,5690,Pessoas,5664,Pessoas
MU,1100049,Cacoal (RO),85359,Pessoas,85893,Pessoas,86416,Pessoas,97637,Pessoas,98280,Pessoas
MU,1100056,Cerejeiras (RO),16323,Pessoas,16204,Pessoas,16088,Pessoas,16975,Pessoas,16966,Pessoas
MU,1100064,Colorado do Oeste (RO),15882,Pessoas,15544,Pessoas,15213,Pessoas,16588,Pessoas,16508,Pessoas
MU,1100072,Corumbiara (RO),7391,Pessoas,7220,Pessoas,7052,Pessoas,8001,Pessoas,7968,Pessoas
MU,1100080,Costa Marques (RO),18331,Pessoas,18798,Pessoas,19255,Pessoas,13522,Pessoas,13510,Pessoas
MU,1100098,Espigão D'Oeste (RO),32374,Pessoas,32695,Pessoas,33009,Pessoas,32717,Pessoas,32842,Pessoas
MU,1100106,Guajará-Mirim (RO),46174,Pessoas,46556,Pessoas,46930,Pessoas,43553,Pessoas,43594,Pessoas
MU,1100114,Jaru (RO),51775,Pessoas,51620,Pessoas,51469,Pessoas,55583,Pessoas,55682,Pessoas
MU,1100122,Ji-Paraná (RO),128969,Pessoas,130009,Pessoas,131026,Pessoas,139359,Pessoas,140101,Pessoas
MU,1100130,Machadinho D'Oeste (RO),39991,Pessoas,40867,Pessoas,41724,Pessoas,34063,Pessoas,34149,Pessoas
MU,1100148,Nova Brasilândia D'Oeste (RO),20474,Pessoas,20489,Pessoas,20504,Pessoas,16504,Pessoas,16374,Pessoas
MU,1100155,Ouro Preto do Oeste (RO),36035,Pessoas,35737,Pessoas,35445,Pessoas,38681,Pessoas,38684,Pessoas
MU,1100189,Pimenta Bueno (RO),36660,Pessoas,36881,Pessoas,37098,Pessoas,39053,Pessoas,39220,Pessoas
MU,1100205,Porto Velho (RO),529544,Pessoas,539354,Pessoas,548952,Pessoas,514873,Pessoas,517709,Pessoas
MU,1100254,Presidente Médici (RO),18986,Pessoas,18571,Pessoas,18165,Pessoas,20518,Pessoas,20443,Pessoas
MU,1100262,Rio Crespo (RO),3764,Pessoas,3804,Pessoas,3843,Pessoas,3753,Pessoas,3767,Pessoas
MU,1100288,Rolim de Moura (RO),55058,Pessoas,55407,Pessoas,55748,Pessoas,62559,Pessoas,62959,Pessoas
MU,1100296,Santa Luzia D'Oeste (RO),6495,Pessoas,6216,Pessoas,5942,Pessoas,7877,Pessoas,7837,Pessoas
MU,1100304,Vilhena (RO),99854,Pessoas,102211,Pessoas,104517,Pessoas,108528,Pessoas,109651,Pessoas
MU,1100320,São Miguel do Guaporé (RO),23005,Pessoas,23077,Pessoas,23147,Pessoas,22267,Pessoas,22305,Pessoas
MU,1100338,Nova Mamoré (RO),30583,Pessoas,31392,Pessoas,32184,Pessoas,28496,Pessoas,28701,Pessoas
MU,1100346,Alvorada D'Oeste (RO),14411,Pessoas,14106,Pessoas,13807,Pessoas,13837,Pessoas,13720,Pessoas
MU,1100379,Alto Alegre dos Parecis (RO),13241,Pessoas,13255,Pessoas,13268,Pessoas,12263,Pessoas,12237,Pessoas
MU,1100403,Alto Paraíso (RO),21428,Pessoas,21847,Pessoas,22258,Pessoas,17463,Pessoas,17467,Pessoas
MU,1100452,Buritis (RO),39654,Pessoas,40356,Pessoas,41043,Pessoas,30729,Pessoas,30649,Pessoas
MU,1100502,Novo Horizonte do Oeste (RO),8538,Pessoas,8329,Pessoas,8125,Pessoas,8056,Pessoas,7972,Pessoas
MU,1100601,Cacaulândia (RO),6230,Pessoas,6269,Pessoas,6307,Pessoas,4345,Pessoas,4292,Pessoas
MU,1100700,Campo Novo de Rondônia (RO),14139,Pessoas,14266,Pessoas,14391,Pessoas,9225,Pessoas,9095,Pessoas
MU,1100809,Candeias do Jamari (RO),26693,Pessoas,27388,Pessoas,28068,Pessoas,24163,Pessoas,24313,Pessoas
MU,1100908,Castanheiras (RO),3052,Pessoas,2987,Pessoas,2923,Pessoas,3456,Pessoas,3450,Pessoas
MU,1100924,Chupinguaia (RO),11182,Pessoas,11472,Pessoas,11755,Pessoas,10129,Pessoas,10191,Pessoas
MU,1100940,Cujubim (RO),25215,Pessoas,26183,Pessoas,27131,Pessoas,15883,Pessoas,15877,Pessoas
MU,1101005,Governador Jorge Teixeira (RO),7767,Pessoas,7445,Pessoas,7130,Pessoas,8420,Pessoas,8340,Pessoas
MU,1101104,Itapuã do Oeste (RO),10458,Pessoas,10641,Pessoas,10819,Pessoas,9209,Pessoas,9228,Pessoas
MU,1101203,Ministro Andreazza (RO),9660,Pessoas,9559,Pessoas,9461,Pessoas,6657,Pessoas,6519,Pessoas
MU,1101302,Mirante da Serra (RO),10947,Pessoas,10818,Pessoas,10691,Pessoas,9740,Pessoas,9657,Pessoas
MU,1101401,Monte Negro (RO),15852,Pessoas,16007,Pessoas,16158,Pessoas,12241,Pessoas,12168,Pessoas
MU,1101435,Nova União (RO),6970,Pessoas,6895,Pessoas,6822,Pessoas,6577,Pessoas,6541,Pessoas
MU,1101450,Parecis (RO),6074,Pessoas,6198,Pessoas,6319,Pessoas,4390,Pessoas,4372,Pessoas
MU,1101468,Pimenteiras do Oeste (RO),2169,Pessoas,2148,Pessoas,2127,Pessoas,2311,Pessoas,2309,Pessoas
MU,1101476,Primavera de Rondônia (RO),2856,Pessoas,2776,Pessoas,2697,Pessoas,3279,Pessoas,3268,Pessoas
MU,1101484,São Felipe D'Oeste (RO),5172,Pessoas,5066,Pessoas,4962,Pessoas,5605,Pessoas,5588,Pessoas
MU,1101492,São Francisco do Guaporé (RO),20266,Pessoas,20681,Pessoas,21088,Pessoas,17511,Pessoas,17557,Pessoas
MU,1101500,Seringueiras (RO),11856,Pessoas,11851,Pessoas,11846,Pessoas,12954,Pessoas,12965,Pessoas
MU,1101559,Teixeirópolis (RO),4308,Pessoas,4233,Pessoas,4160,Pessoas,4536,Pessoas,4521,Pessoas
MU,1101609,Theobroma (RO),10444,Pessoas,10395,Pessoas,10348,Pessoas,8540,Pessoas,8459,Pessoas
MU,1101708,Urupá (RO),11467,Pessoas,11272,Pessoas,11081,Pessoas,11377,Pessoas,11314,Pessoas
MU,1101757,Vale do Anari (RO),11204,Pessoas,11377,Pessoas,11545,Pessoas,8265,Pessoas,8220,Pessoas
MU,1101807,Vale do Paraíso (RO),6825,Pessoas,6656,Pessoas,6490,Pessoas,6843,Pessoas,6790,Pessoas
MU,1200013,Acrelândia (AC),15256,Pessoas,15490,Pessoas,15721,Pessoas,14657,Pessoas,14712,Pessoas
MU,1200054,Assis Brasil (AC),7417,Pessoas,7534,Pessoas,7649,Pessoas,8573,Pessoas,8648,Pessoas
MU,1200104,Brasiléia (AC),26278,Pessoas,26702,Pessoas,27123,Pessoas,27841,Pessoas,28028,Pessoas
MU,1200138,Bujari (AC),10266,Pessoas,10420,Pessoas,10572,Pessoas,13766,Pessoas,13928,Pessoas
MU,1200179,Capixaba (AC),11733,Pessoas,12008,Pessoas,12280,Pessoas,10922,Pessoas,10981,Pessoas
MU,1200203,Cruzeiro do Sul (AC),88376,Pessoas,89072,Pessoas,89760,Pessoas,98382,Pessoas,98916,Pessoas
MU,1200252,Epitaciolândia (AC),18411,Pessoas,18696,Pessoas,18979,Pessoas,19739,Pessoas,19874,Pessoas
MU,1200302,Feijó (AC),34780,Pessoas,34884,Pessoas,34986,Pessoas,37644,Pessoas,37764,Pessoas
MU,1200328,Jordão (AC),8317,Pessoas,8473,Pessoas,8628,Pessoas,9787,Pessoas,9884,Pessoas
MU,1200336,Mâncio Lima (AC),18977,Pessoas,19311,Pessoas,19643,Pessoas,20329,Pessoas,20479,Pessoas
MU,1200344,Manoel Urbano (AC),9459,Pessoas,9581,Pessoas,9701,Pessoas,12776,Pessoas,12923,Pessoas
MU,1200351,Marechal Thaumaturgo (AC),18867,Pessoas,19299,Pessoas,19727,Pessoas,17951,Pessoas,18057,Pessoas
MU,1200385,Plácido de Castro (AC),19761,Pessoas,19955,Pessoas,20147,Pessoas,17127,Pessoas,17107,Pessoas
MU,1200393,Porto Walter (AC),11982,Pessoas,12241,Pessoas,12497,Pessoas,11275,Pessoas,11333,Pessoas
MU,1200401,Rio Branco (AC),407319,Pessoas,413418,Pessoas,419452,Pessoas,387852,Pessoas,389001,Pessoas
MU,1200427,Rodrigues Alves (AC),18930,Pessoas,19351,Pessoas,19767,Pessoas,15537,Pessoas,15560,Pessoas
MU,1200435,Santa Rosa do Purus (AC),6540,Pessoas,6717,Pessoas,6893,Pessoas,7143,Pessoas,7217,Pessoas
MU,1200450,Senador Guiomard (AC),23024,Pessoas,23236,Pessoas,23446,Pessoas,22352,Pessoas,22402,Pessoas
MU,1200500,Sena Madureira (AC),45848,Pessoas,46511,Pessoas,47168,Pessoas,43916,Pessoas,44049,Pessoas
MU,1200609,Tarauacá (AC),42567,Pessoas,43151,Pessoas,43730,Pessoas,46517,Pessoas,46816,Pessoas
MU,1200708,Xapuri (AC),19323,Pessoas,19596,Pessoas,19866,Pessoas,19090,Pessoas,19170,Pessoas
MU,1200807,Porto Acre (AC),18504,Pessoas,18824,Pessoas,19141,Pessoas,17455,Pessoas,17523,Pessoas
MU,1300029,Alvarães (AM),16041,Pessoas,16220,Pessoas,16396,Pessoas,16670,Pessoas,16806,Pessoas
MU,1300060,Amaturá (AM),11536,Pessoas,11736,Pessoas,11934,Pessoas,11411,Pessoas,11533,Pessoas
MU,1300086,Anamã (AM),13614,Pessoas,13956,Pessoas,14292,Pessoas,10318,Pessoas,9981,Pessoas
MU,1300102,Anori (AM),21010,Pessoas,21477,Pessoas,21937,Pessoas,17932,Pessoas,18056,Pessoas
MU,1300144,Apuí (AM),21973,Pessoas,22359,Pessoas,22739,Pessoas,21735,Pessoas,21781,Pessoas
MU,1300201,Atalaia do Norte (AM),19921,Pessoas,20398,Pessoas,20868,Pessoas,15892,Pessoas,15889,Pessoas
MU,1300300,Autazes (AM),39565,Pessoas,40290,Pessoas,41005,Pessoas,45328,Pessoas,45960,Pessoas
MU,1300409,Barcelos (AM),27502,Pessoas,27638,Pessoas,27772,Pessoas,18626,Pessoas,18210,Pessoas
MU,1300508,Barreirinha (AM),32041,Pessoas,32483,Pessoas,32919,Pessoas,33436,Pessoas,33722,Pessoas
MU,1300607,Benjamin Constant (AM),42984,Pessoas,43935,Pessoas,44873,Pessoas,40509,Pessoas,40908,Pessoas
MU,1300631,Beruri (AM),19679,Pessoas,20093,Pessoas,20503,Pessoas,22136,Pessoas,22495,Pessoas
MU,1300680,Boa Vista do Ramos (AM),19207,Pessoas,19626,Pessoas,20040,Pessoas,25769,Pessoas,26479,Pessoas
MU,1300706,Boca do Acre (AM),34308,Pessoas,34635,Pessoas,34958,Pessoas,38246,Pessoas,38792,Pessoas
MU,1300805,Borba (AM),41161,Pessoas,41748,Pessoas,42328,Pessoas,34879,Pessoas,34869,Pessoas
MU,1300839,Caapiranga (AM),13081,Pessoas,13283,Pessoas,13482,Pessoas,14310,Pessoas,14806,Pessoas
MU,1300904,Canutama (AM),15629,Pessoas,15807,Pessoas,15981,Pessoas,17885,Pessoas,18109,Pessoas
MU,1301001,Carauari (AM),28294,Pessoas,28508,Pessoas,28719,Pessoas,30892,Pessoas,31130,Pessoas
MU,1301100,Careiro (AM),37869,Pessoas,38348,Pessoas,38820,Pessoas,32442,Pessoas,32336,Pessoas
MU,1301159,Careiro da Várzea (AM),30225,Pessoas,30846,Pessoas,31459,Pessoas,19809,Pessoas,20324,Pessoas
MU,1301209,Coari (AM),85097,Pessoas,85910,Pessoas,86713,Pessoas,73820,Pessoas,73576,Pessoas
MU,1301308,Codajás (AM),28637,Pessoas,29168,Pessoas,29691,Pessoas,24451,Pessoas,24572,Pessoas
MU,1301407,Eirunepé (AM),35273,Pessoas,35700,Pessoas,36121,Pessoas,35534,Pessoas,35793,Pessoas
MU,1301506,Envira (AM),20033,Pessoas,20393,Pessoas,20748,Pessoas,17920,Pessoas,17985,Pessoas
MU,1301605,Fonte Boa (AM),17609,Pessoas,17005,Pessoas,16409,Pessoas,27875,Pessoas,28227,Pessoas
MU,1301654,Guajará (AM),16678,Pessoas,16937,Pessoas,17193,Pessoas,14332,Pessoas,14344,Pessoas
MU,1301704,Humaitá (AM),55080,Pessoas,56144,Pessoas,57195,Pessoas,62312,Pessoas,63454,Pessoas
MU,1301803,Ipixuna (AM),29689,Pessoas,30436,Pessoas,31172,Pessoas,25458,Pessoas,25629,Pessoas
MU,1301852,Iranduba (AM),48296,Pessoas,49011,Pessoas,49718,Pessoas,67114,Pessoas,68862,Pessoas
MU,1301902,Itacoatiara (AM),101337,Pessoas,102701,Pessoas,104046,Pessoas,112520,Pessoas,113917,Pessoas
MU,1301951,Itamarati (AM),7851,Pessoas,7814,Pessoas,7777,Pessoas,11730,Pessoas,11956,Pessoas
MU,1302009,Itapiranga (AM),9148,Pessoas,9230,Pessoas,9312,Pessoas,10805,Pessoas,10955,Pessoas
MU,1302108,Japurá (AM),2755,Pessoas,2251,Pessoas,1755,Pessoas,9397,Pessoas,9420,Pessoas
MU,1302207,Juruá (AM),14712,Pessoas,15106,Pessoas,15495,Pessoas,11152,Pessoas,11093,Pessoas
MU,1302306,Jutaí (AM),14317,Pessoas,13886,Pessoas,13462,Pessoas,27656,Pessoas,28202,Pessoas
MU,1302405,Lábrea (AM),46069,Pessoas,46882,Pessoas,47685,Pessoas,48927,Pessoas,49469,Pessoas
MU,1302504,Manacapuru (AM),97377,Pessoas,98502,Pessoas,99613,Pessoas,110691,Pessoas,111751,Pessoas
MU,1302553,Manaquiri (AM),32105,Pessoas,33049,Pessoas,33981,Pessoas,17009,Pessoas,16211,Pessoas
MU,1302603,Manaus (AM),2182763,Pessoas,2219580,Pessoas,2255903,Pessoas,2279686,Pessoas,2303732,Pessoas
MU,1302702,Manicoré (AM),55751,Pessoas,56583,Pessoas,57405,Pessoas,57758,Pessoas,58018,Pessoas
MU,1302801,Maraã (AM),18224,Pessoas,18261,Pessoas,18298,Pessoas,15843,Pessoas,15815,Pessoas
MU,1302900,Maués (AM),63905,Pessoas,65040,Pessoas,66159,Pessoas,65714,Pessoas,66336,Pessoas
MU,1303007,Nhamundá (AM),21173,Pessoas,21443,Pessoas,21710,Pessoas,21106,Pessoas,21251,Pessoas
MU,1303106,Nova Olinda do Norte (AM),37378,Pessoas,38026,Pessoas,38665,Pessoas,28267,Pessoas,28123,Pessoas
MU,1303205,Novo Airão (AM),19454,Pessoas,19928,Pessoas,20395,Pessoas,16467,Pessoas,16562,Pessoas
MU,1303304,Novo Aripuanã (AM),25644,Pessoas,26046,Pessoas,26443,Pessoas,24987,Pessoas,25325,Pessoas
MU,1303403,Parintins (AM),114273,Pessoas,115363,Pessoas,116439,Pessoas,101956,Pessoas,101855,Pessoas
MU,1303502,Pauini (AM),19426,Pessoas,19522,Pessoas,19616,Pessoas,20232,Pessoas,20229,Pessoas
